,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
81,74,Belarus,994037,,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722"
207,200,Niger,9931,,312,,"8,890",,729,1,381,12,"254,538","9,759"
137,130,Channel Islands,99040,,212,,"97,238",,"1,590",,"561,251","1,201","1,252,808","7,099,551"
22,15,Argentina,9891139,,"130,124",,"9,609,732",,"151,283",411,"214,977","2,828","35,716,069","776,264"
138,131,French Guiana,97526,,412,,"11,254",,"85,860",3,"310,425","1,311","651,257","2,072,951"
82,75,Latvia,972561,,"6,143",,"950,319",,"16,099",3,"526,039","3,323","7,763,708","4,199,239"
208,201,St. Vincent Grenadines,9521,,118,,"9,367",,36,,"85,351","1,058","112,923","1,012,299"
139,132,DRC,95071,,"1,462",,"84,015",,"9,594",,998,15,"846,704","8,890"
209,202,Antigua and Barbuda,9106,,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943"
236,229,MS Zaandam,9,,2,,7,,0,,,,,
210,203,Comoros,8982,,161,,"8,819",,2,,"9,898",177,,
211,204,Guinea-Bissau,8947,,176,,"8,656",,115,6,"4,336",85,"145,231","70,385"
140,133,Senegal,88896,,"1,968",,"86,906",,22,,"5,036",111,"1,146,543","64,946"
141,134,Malawi,88220,,"2,685",,"85,065",,470,67,"4,371",133,"624,784","30,959"
142,135,Ivory Coast,87937,,830,,"87,083",,24,,"3,170",30,"1,661,170","59,879"
23,16,Taiwan,8738114,"+24,498","15,120",+7,"8,397,077","+16,717","325,917",,"365,786",633,"29,136,445","1,219,680"
24,17,Netherlands,8562993,,"22,967",,"8,516,895",+565,"23,131",51,"497,517","1,334","25,984,435","1,509,718"
83,76,Saudi Arabia,826850,,"9,510",,"814,415",,"2,925",30,"23,067",265,"44,922,575","1,253,248"
84,77,Azerbaijan,826075,+95,"10,008",+2,"815,510",+101,557,,"80,200",972,"7,423,605","720,724"
143,136,Suriname,81581,,"1,393",,N/A,N/A,N/A,,"136,690","2,334","239,603","401,459"
212,205,Liberia,8043,,294,,"7,741",,8,2,"1,516",55,"139,824","26,356"
144,137,New Caledonia,79026,,314,,"77,483",,"1,229",9,"271,646","1,079","98,964","340,182"
85,78,Paraguay,785534,,"19,666",,N/A,N/A,N/A,7,"107,521","2,692","2,657,506","363,751"
145,138,French Polynesia,77910,,649,,N/A,N/A,N/A,7,"274,173","2,284",,
213,206,Sierra Leone,7760,,126,,N/A,N/A,N/A,,934,15,"259,958","31,296"
214,207,Chad,7650,,194,,"4,874",,"2,582",,439,11,"191,341","10,988"
231,224,Wallis and Futuna,761,,7,,438,,316,,"69,295",637,"20,508","1,867,419"
25,18,Iran,7560852,,"144,675",,"7,335,964",,"80,213",67,"87,894","1,682","54,420,785","632,632"
146,139,Eswatini,74021,,"1,422",,"72,558",,41,,"62,475","1,200","1,047,886","884,429"
215,208,British Virgin Islands,7305,,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269"
26,19,Mexico,7222270,,"331,021",,"6,455,385",,"435,864","4,798","54,896","2,516","19,015,425","144,535"
6,,,721,,15,,706,,0,0,,,,
147,140,Guyana,72004,,"1,286",,"70,466",,252,,"90,680","1,620","709,893","894,021"
232,225,Diamond Princess,712,,13,,699,,0,,,,,
86,79,Bahrain,698440,,"1,539",,"696,212",,689,12,"391,506",863,"10,624,352","5,955,411"
148,141,Belize,69675,,688,,"68,755",,232,6,"169,036","1,669","576,016","1,397,453"
149,142,Fiji,68451,,878,,"66,524",,"1,049",,"75,265",965,"666,164","732,478"
150,143,Madagascar,67735,,"1,416",,"66,202",,117,,"2,321",49,"522,334","17,902"
87,80,Sri Lanka,671859,,"16,815",,"654,995",,49,,"31,139",779,"6,486,117","300,619"
27,20,Indonesia,6717395,+803,"160,560",+9,"6,540,260","+1,692","16,575","2,771","24,065",575,"113,681,592","407,265"
3,,South America,66664246,+860,"1,340,721",+1,"64,163,430","+2,156","1,160,095","10,349",,,,
88,81,Kuwait,662747,,"2,570",,"660,095",,82,,"151,301",587,"8,447,300","1,928,464"
